Water Gauge /kPa,Mercury Gauge /kPa
-0.03,-18.84
-0.06,-17.85
-0.09,-18.04
-0.12,-17.35
-0.15,-16.62
-0.21,-15.59
-0.25,-15.02
-0.29,-14.43
-0.36,-13.53
-0.41,-12.92
-0.43,-12.67
-0.43,-12.62
-0.45,-12.37
-0.47,-12.32
-0.47,-12.31
-0.5,-11.98
-0.52,-11.76
-0.54,-11.56
-0.56,-11.38
-0.58,-11.19
-0.59,-10.99
-0.62,-10.79
-0.65,-10.44
-0.67,-10.2
-0.69,-10.14
-0.72,-9.77
-0.74,-9.56
-0.74,-9.62
-0.75,-9.55
-0.77,-9.39
-0.79,-9.18
-0.82,-8.98
-0.9,-8.22
-0.98,-7.57
-1.09,-6.7
-1.16,-6.13
-1.23,-5.62
-1.31,-5.16
-1.42,-4.37
-1.5,-3.85
-1.53,-3.57
-1.67,-2.63
